key,year,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,team,salary
1984-11-19안영명2014,2014,안영명,1984-11-19,2.15,48,0,0,6,7,6,4,6,97.2,59,49,447,114,20,3,8,36,1,13,64,0,3,4.52,5.08,1.54,120.1,104,2.15,한,11500
1986-02-14밴와트2014,2014,밴와트,1986-02-14,2,11,0,0,11,9,1,0,0,66.2,27,23,282,56,7,1,6,26,1,5,56,0,1,3.11,4.7,1.23,164.4,110.8,2,S,12409
1979-10-11유먼2014,2014,유먼,1979-10-11,1.95,28,0,0,28,12,10,0,0,151.2,109,100,701,196,22,6,20,63,0,3,84,0,3,5.93,5.77,1.71,91.9,92.8,1.95,롯,36000
1987-07-31원종현2014,2014,원종현,1987-07-31,1.93,73,0,0,0,5,3,1,11,71,36,32,311,62,11,1,7,31,3,8,73,0,5,4.06,4.6,1.31,128.3,114.7,1.93,N,12409
1992-05-15유창식2014,2014,유창식,1992-05-15,1.81,21,0,0,18,4,4,0,0,91.1,54,42,436,100,15,3,2,72,1,3,53,0,11,4.14,5.41,1.88,131.1,97.4,1.81,한,6400
1985-07-17오현택2014,2014,오현택,1985-07-17,1.76,58,0,0,2,4,3,0,4,66.2,28,27,300,81,20,2,6,18,1,5,56,0,0,3.65,4.34,1.49,135.7,116,1.76,두,8000
1991-04-02임정우2014,2014,임정우,1991-04-02,1.74,25,0,0,10,2,5,0,0,73.1,35,34,317,79,14,1,6,26,2,5,54,1,5,4.17,4.63,1.43,118.6,109.1,1.74,L,6500
1984-07-28윤규진2014,2014,윤규진,1984-07-28,1.69,43,0,0,0,7,2,9,3,72,39,37,311,69,14,1,11,31,2,1,73,0,8,4.63,5.06,1.39,117.3,104.3,1.69,한,8000
1974-05-13최영필2014,2014,최영필,1974-05-13,1.68,40,0,0,0,4,2,0,14,53.2,25,19,228,52,13,0,6,15,1,1,45,0,3,3.19,4.47,1.25,163.8,118.4,1.68,K,9000
1979-08-12홀튼2014,2014,홀튼,1979-08-12,1.65,17,0,0,17,5,8,0,0,93.2,54,50,417,96,24,2,10,48,0,3,58,0,4,4.8,5.64,1.54,108.6,93.6,1.65,K,12409
1980-06-29송승준2014,2014,송승준,1980-06-29,1.64,24,0,0,23,8,11,0,0,122,91,81,572,166,29,4,16,43,0,10,89,0,4,5.98,5.41,1.71,91.2,98.8,1.64,롯,36000
1983-09-23윤길현2014,2014,윤길현,1983-09-23,1.62,59,0,0,0,3,3,7,9,57.2,27,25,247,49,10,1,7,28,2,1,63,0,9,3.9,4.65,1.34,130.8,111.8,1.62,S,14500
1986-06-17유원상2014,2014,유원상,1986-06-17,1.62,66,0,0,0,4,5,0,16,68,35,33,289,67,11,1,6,23,1,2,49,0,3,4.37,4.62,1.32,113.4,109.1,1.62,L,7500
1984-05-15티포드2014,2014,티포드,1984-05-15,1.58,20,0,0,19,5,6,0,0,99.2,64,58,455,105,14,2,9,51,2,6,85,0,2,5.24,4.98,1.57,94.5,101.3,1.58,L,12409
1986-11-29전유수2014,2014,전유수,1986-11-29,1.55,67,0,0,0,7,4,0,5,84.2,51,47,383,99,14,4,11,37,3,3,72,0,5,5,5.16,1.61,102.2,101.5,1.55,S,5000
1982-10-18울프2014,2014,울프,1982-10-18,1.54,23,0,0,13,2,2,4,0,85.1,48,46,364,88,17,0,10,27,0,6,41,0,1,4.85,5.58,1.35,105.2,94.1,1.54,S,12409
1984-05-05어센시오2014,2014,어센시오,1984-05-05,1.53,46,0,0,0,4,1,20,0,46.2,24,21,207,49,12,1,5,14,0,2,56,0,5,4.05,3.88,1.35,128.9,137,1.53,K,12409
1982-03-28신재웅2014,2014,신재웅,1982-03-28,1.47,57,0,0,2,8,3,0,8,64,29,27,271,62,10,2,7,26,0,2,46,0,1,3.8,5.15,1.38,130.4,97.3,1.47,L,8000
1989-01-02이용찬2014,2014,이용찬,1989-01-02,1.43,48,0,0,0,5,5,17,0,51,28,24,221,56,12,2,3,16,1,3,47,0,5,4.24,3.84,1.41,116.8,132.7,1.43,두,14500
1985-03-07김진성2014,2014,김진성,1985-03-07,1.41,58,0,0,0,3,3,25,1,48.1,25,22,211,40,8,1,4,26,0,2,52,0,1,4.1,4.52,1.37,127,116.7,1.41,N,4300
1975-01-02손민한2014,2014,손민한,1975-01-02,1.37,52,0,0,1,4,4,1,9,48.1,20,19,210,56,12,0,5,14,1,3,23,0,3,3.54,5.24,1.45,147.1,100.8,1.37,N,10000
