,YYYY,team,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,salary,salary_log
27,2022,EAGLES,김민우,1995-07-25,1.99,29,1,0,29,6,11,0,0,163.0,82,79,711,143,40,1,16,84,8,8,129,0.0,13.0,4.36,4.58,1.39,92.8,89.1,0.53,19100.0,9.857443614034722
28,2022,GIANTS,나균안,1998-03-16,1.94,39,0,0,13,3,8,0,2,117.2,55,52,506,125,36,3,5,37,1,3,123,0.0,6.0,3.98,2.79,1.38,104.7,146.6,-0.72,5800.0,8.66561319653451
29,2022,DYNOS,김시훈,1999-02-24,1.88,59,0,0,7,4,5,0,11,83.1,35,30,365,75,10,0,7,43,0,4,79,1.0,2.0,3.24,4.23,1.42,125.7,97.2,0.44,3000.0,8.006367567650246
30,2022,GIANTS,박세웅,1995-11-30,1.87,28,0,0,28,10,11,0,0,157.1,80,66,679,180,32,4,8,32,1,8,146,0.0,7.0,3.78,2.89,1.35,110.3,141.6,-0.14,26000.0,10.165851817003619
31,2022,DYNOS,김영규,2000-02-10,1.84,72,0,0,0,2,7,1,13,66.0,26,25,269,56,8,2,5,22,4,7,46,0.0,3.0,3.41,4.07,1.18,119.5,101.0,0.03,9500.0,9.159047077588632
32,2022,GIANTS,스트레일리,1988-12-01,1.82,11,0,0,11,4,2,0,0,62.1,24,16,260,54,8,0,5,22,0,6,55,0.0,2.0,2.31,3.96,1.22,180.2,102.8,0.64,50000.0,10.819778284410283
33,2022,TIGERS,정해영,2001-08-23,1.78,55,0,0,0,3,7,32,0,56.0,21,21,238,54,12,1,3,18,1,0,43,0.0,0.0,3.38,3.41,1.29,120.8,120.0,1.31,17000.0,9.740968623038354
34,2022,LIONS,오승환,1982-07-15,1.69,57,0,0,0,6,2,31,2,57.0,23,21,239,59,9,1,8,13,0,1,51,0.0,1.0,3.32,4.11,1.26,125.9,101.5,0.24,160000.0,11.982929094215963
35,2022,TIGERS,양현종,1988-03-01,1.68,30,0,0,30,12,7,0,0,175.1,86,75,743,170,33,3,14,50,1,3,141,0.0,3.0,3.85,3.66,1.26,105.9,112.1,0.27,100000.0,11.512925464970229
36,2022,TIGERS,임기영,1993-04-16,1.66,26,0,0,23,4,13,1,0,129.1,63,61,555,137,25,1,18,36,1,5,82,0.0,2.0,4.24,4.81,1.34,96.0,85.4,-0.24,14000.0,9.546812608597396
37,2022,BEARS,김명신,1993-11-29,1.64,68,0,0,0,3,3,0,10,79.2,33,32,333,75,9,2,5,25,0,3,61,0.0,4.0,3.62,3.68,1.26,110.1,108.5,0.17,10000.0,9.210340371976184
38,2022,BEARS,최원준,1994-12-21,1.62,30,0,0,30,8,13,0,0,165.0,80,66,713,183,31,2,21,37,0,7,113,1.0,2.0,3.6,4.42,1.33,110.5,88.7,-0.53,34000.0,10.4341158035983
39,2022,GIANTS,이인복,1991-06-18,1.59,26,0,0,23,9,9,0,1,126.2,63,59,547,153,22,1,6,30,0,4,71,0.0,4.0,4.19,3.64,1.45,99.3,112.0,0.01,8500.0,9.047821442478408
40,2022,TWINS,이우찬,1992-08-04,1.54,36,0,0,0,5,0,0,2,44.2,10,9,182,29,4,0,2,21,1,1,42,0.0,4.0,1.81,3.45,1.12,219.2,116.5,0.82,5000.0,8.517193191416238
41,2022,TWINS,진해수,1986-06-26,1.53,64,0,0,0,4,0,0,12,45.0,12,11,180,39,6,3,1,11,0,1,35,0.0,2.0,2.2,2.87,1.11,180.7,140.8,1.1,30000.0,10.308952660644293
42,2022,TWINS,김진성,1985-03-07,1.53,67,0,0,0,6,3,0,12,58.0,21,20,236,44,6,1,6,22,3,1,54,0.0,2.0,3.1,3.86,1.14,128.1,102.2,0.61,10000.0,9.210340371976184
43,2022,HEROS,이승호,1999-02-08,1.49,53,0,0,0,3,2,10,10,50.1,20,20,215,44,9,0,7,27,1,3,44,0.0,6.0,3.58,5.13,1.41,111.8,76.4,1.53,2700.0,7.90100705199242
44,2022,TWINS,김대유,1991-05-08,1.39,59,0,0,0,2,1,0,13,39.2,11,10,172,36,6,2,2,15,3,8,36,0.0,0.0,2.27,3.69,1.29,175.2,108.8,0.22,12500.0,9.433483923290392
45,2022,WYVERNS,서진용,1992-10-02,1.3,68,0,0,0,7,3,21,12,67.1,32,30,297,64,10,1,5,36,3,3,55,0.0,6.0,4.01,4.27,1.49,103.8,97.6,2.6,18500.0,9.825526011066415
46,2022,TIGERS,이준영,1992-08-10,1.29,75,0,0,0,1,1,1,17,46.1,17,15,202,41,8,0,3,26,3,0,42,0.0,0.0,2.91,3.86,1.45,139.9,105.8,0.33,6700.0,8.809862805379057
