name,birth,debut,career
왓슨,1978-09-05,2009,1
지승민,1978-09-12,2001,7
부첵,1978-10-24,2011,1
정대현,1978-11-10,2001,16
손지환,1978-11-13,1997,14
정현욱,1978-12-02,1998,15
김원섭,1978-12-18,2001,15
김병현,1979-01-19,2012,4
권윤민,1979-01-22,2007,1
박한이,1979-01-28,2001,19
안치용,1979-02-23,2002,12
이정민,1979-03-02,2002,13
이혜천,1979-03-12,1998,15
마정길,1979-03-13,2002,13
최희섭,1979-03-16,2007,8
조용준,1979-03-17,2002,5
김민우,1979-03-21,2002,12
김진수,1979-04-19,1998,6
박용택,1979-04-21,2002,20
유재웅,1979-05-20,2002,8
이대환,1979-05-28,2002,10
이승학,1979-06-02,2007,2
임동규,1979-06-03,2003,4
정성기,1979-06-08,2013,1
알드리지,1979-06-13,2011,1
이재영,1979-06-13,2002,12
현재윤,1979-07-08,2002,10
서승화,1979-07-13,2002,7
강철민,1979-07-22,2002,6
밴헤켄,1979-07-31,2012,6
강귀태,1979-08-12,2002,11
홀튼,1979-08-12,2014,1
콜론,1979-08-13,2010,1
권오원,1979-08-16,2002,5
김수경,1979-08-20,1998,15
스코비,1979-09-01,2007,2
김재현,1979-09-07,1998,7
김용우,1979-09-12,2002,6
추승우,1979-09-24,2002,11
김문수,1979-09-30,2003,4
유먼,1979-10-11,2012,4
에니스,1979-10-17,2008,1
부시,1979-11-09,2012,1
이동현,1979-11-15,2004,6
라미레즈,1979-11-24,2012,1
채상병,1979-12-18,2002,9
허일상,1979-12-21,2002,4
정재훈,1980-01-01,2003,14
조재호,1980-01-10,2002,9
이재우,1980-02-09,2001,13
김일엽,1980-02-15,2008,6
이현곤,1980-02-21,2002,12
한나한,1980-03-04,2015,1
권오준,1980-03-09,2003,17
고동진,1980-04-01,2004,10
김태영,1980-04-07,2001,11
로티노,1980-04-07,2014,1
김사율,1980-04-17,1999,18
에르난데스,1980-04-27,2009,1
김형철,1980-05-26,2003,8
한상훈,1980-06-03,2003,11
정종수,1980-06-08,2003,2
이진영,1980-06-15,1999,20
이종욱,1980-06-18,2006,13
구자운,1980-06-19,1999,8
정성훈,1980-06-27,1999,20
송승준,1980-06-29,2007,14
모건,1980-07-02,2015,1
이택근,1980-07-10,2003,17
봉중근,1980-07-15,2007,10
디아즈,1980-07-27,2008,1
윤경영,1980-08-12,2004,3
이영욱,1980-08-13,2005,7
김광삼,1980-08-15,1999,11
최경철,1980-08-15,2004,11
바티스타,1980-08-23,2011,3
정보명,1980-08-23,2003,9
이상화,1980-09-15,2004,6
손시헌,1980-10-19,2003,15
강명구,1980-10-25,2003,10
히메네스,1980-10-27,2010,1
이인구,1980-11-07,2003,9
김상현,1980-11-12,2001,14
문용민,1980-12-06,2003,3
가코,1981-01-02,2011,1
김성배,1981-01-12,2004,12
카페얀,1981-01-13,2010,1
차일목,1981-01-26,2003,14
이양기,1981-01-31,2003,11
심수창,1981-02-09,2004,15
권도영,1981-02-11,2007,4
김승회,1981-02-11,2003,14
정재복,1981-02-13,2003,9
부에노,1981-03-05,2010,1
박진환,1981-03-10,2004,4
조영민,1981-03-11,2004,5
조동화,1981-03-22,2001,14
김주찬,1981-03-25,2000,19
김건한,1981-03-26,2001,14
김희걸,1981-03-26,2014,1
용덕한,1981-04-09,2004,11
장준관,1981-04-14,2000,6
션헨,1981-04-23,2012,1
배영수,1981-05-04,2000,18
김광수,1981-05-05,2000,14
니퍼트,1981-05-06,2011,8
이동학,1981-05-06,2003,8
정재훈,1981-05-06,2006,2
이영수,1981-05-09,2005,3
민경수,1981-05-19,2004,5
마일영,1981-05-28,2000,14
박기혁,1981-06-04,2000,17
강영식,1981-06-17,2000,18
엄정욱,1981-06-18,2000,11
유한준,1981-07-01,2005,15
크루세타,1981-07-04,2009,2
더마트레,1981-07-12,2010,1
곽동훈,1981-07-13,2008,3
허준,1981-07-20,2005,9
박정권,1981-07-21,2004,14
박기남,1981-08-14,2004,10
이대수,1981-08-21,2002,17
마야,1981-08-28,2014,2
이성우,1981-09-01,2008,14
오윤,1981-09-08,2005,9
이승호,1981-09-09,2000,13
조규수,1981-09-15,2000,7
