birth||name,year||team||pos,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA
1989-07-15 || 노진혁,22N3B,3.31,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5,0.28,0.353,0.455,0.807,0.362,125.1,1.13
1990-08-26 || 허경민,22두3B,3.29,121,493,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,0.289,0.361,0.398,0.759,0.35,119.6,1.82
1990-07-02 || 안치홍,22롯2B,3.24,132,562,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.79,0.354,117.2,0.87
1988-09-22 || 김재환,22두LF,3.24,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,0.248,0.34,0.46,0.8,0.36,130.7,0.33
1993-11-21 || 홍창기,22LRF,3.17,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,0.353,119.2,1.27
1986-02-25 || 전준우,22롯LF,3.1,120,517,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,0.304,0.35,0.445,0.795,0.361,121.3,1.19
1995-06-05 || 박찬호,22KSS,3.02,130,566,494,81,134,22,0,4,168,45,41,8,57,1,0,67,9,7,7,0.271,0.344,0.34,0.684,0.319,95,0.62
1990-04-07 || 박동원,22키KC,2.94,123,447,385,52,93,21,0,18,168,57,1,0,45,9,4,95,9,7,1,0.242,0.334,0.436,0.771,0.344,111.5,-0.8
1990-02-06 || 채은성,22L1B,2.89,126,526,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.79,0.359,127.3,-0.22
1989-12-18 || 김선빈,22K2B,2.88,140,587,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.351,0.724,0.341,109.6,1.39
1986-10-29 || 오재일,22삼1B,2.83,135,536,470,57,126,42,0,21,231,94,2,1,58,1,8,133,7,0,7,0.268,0.345,0.491,0.837,0.37,126.5,0.86
1989-09-09 || 조용호,22KRF,2.66,131,531,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3,0.308,0.374,0.382,0.756,0.352,115.8,1.99
2000-12-03 || 노시환,22한3B,2.65,115,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.738,0.344,112.5,1.99
1987-07-28 || 황재균,22K3B,2.65,141,581,519,59,136,24,3,10,196,64,6,3,53,5,5,99,17,2,2,0.262,0.335,0.378,0.713,0.328,99.6,-0.18
1995-06-12 || 배정대,22KCF,2.58,144,575,508,64,135,24,2,6,181,56,19,4,54,4,0,126,2,5,4,0.266,0.339,0.356,0.695,0.324,96.7,-0.18
1997-02-20 || 문성주,22LDH,2.48,106,390,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.375,136,0.48
1994-07-20 || 알포드,22KLF,2.47,80,323,283,48,81,19,1,14,144,50,5,1,33,3,3,90,3,0,4,0.286,0.362,0.509,0.871,0.387,139.7,2.04
1982-07-13 || 추신수,22SDH,2.38,112,499,409,77,106,20,1,16,176,58,15,5,71,13,1,100,6,2,4,0.259,0.382,0.43,0.813,0.374,129.8,2.01
1994-02-09 || 강승호,22두2B,2.34,134,487,444,54,117,28,1,10,177,62,13,5,29,3,0,100,8,6,5,0.264,0.31,0.399,0.708,0.32,100.5,0.53
1992-07-15 || 유강남,22LC,2.3,139,469,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,0.255,0.326,0.351,0.677,0.314,94.9,0.41
1993-11-12 || 렉스,22롯CF,2.3,56,251,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2,0.33,0.41,0.495,0.906,0.411,156.3,1.32
1983-12-16 || 최형우,22KDH,2.29,132,530,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.361,123.3,1.16
1994-01-13 || 류지혁,22K3B,2.26,127,477,405,55,112,19,2,2,141,48,8,4,56,6,0,83,6,8,2,0.277,0.371,0.348,0.719,0.338,107.8,1.01
1993-02-06 || 박민우,22N2B,2.13,104,451,390,61,104,22,1,4,140,38,21,4,42,10,5,55,7,6,3,0.267,0.351,0.359,0.71,0.326,101,0.62
1985-08-18 || 강민호,22삼C,2.11,130,444,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3,0.258,0.33,0.409,0.739,0.335,103.6,0.55
2001-03-08 || 김지찬,22삼2B,2.08,113,429,361,62,101,7,6,0,120,25,25,4,45,2,0,64,2,19,2,0.28,0.361,0.332,0.693,0.317,93.2,0.63
1988-03-18 || 손아섭,22NRF,2.07,138,617,548,72,152,29,4,4,201,48,6,3,59,3,2,76,9,1,6,0.277,0.347,0.367,0.714,0.333,105.7,1.43
1996-08-29 || 송성문,22키3B,2.01,142,601,547,67,135,21,4,13,203,79,0,1,45,1,6,65,8,1,7,0.247,0.302,0.371,0.673,0.305,88.1,-1.23
2002-10-11 || 김현준,22삼CF,1.96,118,422,363,57,100,19,4,0,127,22,5,3,45,6,0,80,1,8,0,0.275,0.365,0.35,0.715,0.334,105.5,0.64
2000-08-11 || 고승민,22롯RF,1.95,92,262,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1,0.316,0.381,0.453,0.834,0.381,134.4,1.34
1993-02-12 || 구자욱,22삼RF,1.91,99,442,409,69,119,23,3,5,163,37,11,1,27,3,2,84,7,1,2,0.291,0.338,0.399,0.736,0.338,107.1,-0.31
1991-03-04 || 이창진,22KLF,1.84,111,404,346,56,104,14,0,7,139,48,3,5,41,2,0,63,7,11,4,0.301,0.374,0.402,0.776,0.352,117.2,-0.65
1991-09-12 || 강한울,22삼3B,1.83,93,252,226,31,73,12,1,1,90,26,4,2,20,0,0,48,2,4,2,0.323,0.375,0.398,0.773,0.355,119.4,-0.53
1988-04-27 || 페르난데스,22두DH,1.83,139,550,508,52,157,28,0,6,203,77,0,0,35,2,0,45,34,0,5,0.309,0.353,0.4,0.752,0.349,118.6,-0.21
1994-07-31 || 김준태,22KC,1.82,98,270,231,28,63,16,1,4,93,27,2,0,33,0,1,77,4,3,3,0.273,0.36,0.403,0.762,0.348,113,0.54
